tree_index	node_name	label
0	node165	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
1	node165	{'NeuralTube', 'Somite'}
5	node165	{'NMPs', 'Somite', 'NeuralTube'}
0	node166	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
11	node166	{'NMPs', 'Somite', 'NeuralTube'}
5	node166	{'NMPs', 'Somite', 'NeuralTube'}
0	node167	{'NMPs', 'Somite', 'NeuralTube'}
1	node167	{'NeuralTube', 'Somite'}
13	node167	{'NeuralTube', 'Somite'}
5	node167	{'NMPs', 'Somite', 'NeuralTube'}
8	node167	{'NMPs', 'Somite', 'NeuralTube'}
1	node168	{'NeuralTube', 'Somite'}
11	node168	{'NMPs', 'Somite', 'NeuralTube'}
5	node168	{'NMPs', 'Somite', 'NeuralTube'}
0	node169	{'NMPs', 'Somite', 'NeuralTube'}
1	node169	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
11	node169	{'NeuralTube', 'Somite'}
8	node169	{'NMPs', 'Somite', 'NeuralTube'}
0	node17	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
1	node17	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
10	node17	{'NMPs', 'Somite', 'NeuralTube'}
12	node17	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
13	node17	{'NeuralTube', 'Somite'}
2	node17	{'NMPs', 'Somite', 'NeuralTube'}
4	node17	{'NeuralTube', 'Somite'}
5	node17	{'NMPs', 'Somite', 'NeuralTube'}
6	node17	{'NeuralTube', 'Somite'}
8	node17	{'NMPs', 'Somite', 'NeuralTube'}
0	node170	{'NMPs', 'Somite', 'NeuralTube'}
1	node170	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
13	node170	{'NeuralTube', 'Somite'}
5	node170	{'NMPs', 'Somite', 'NeuralTube'}
8	node170	{'NeuralTube', 'Somite'}
5	node171	{'NeuralTube', 'Somite'}
8	node171	{'NMPs', 'Somite', 'NeuralTube'}
13	node172	{'NeuralTube', 'Somite'}
5	node172	{'NMPs', 'Somite', 'NeuralTube'}
8	node172	{'NeuralTube', 'Somite'}
0	node173	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
1	node173	{'NeuralTube', 'Somite'}
13	node173	{'NeuralTube', 'Somite'}
5	node173	{'NMPs', 'Somite', 'NeuralTube'}
8	node173	{'NMPs', 'Somite', 'NeuralTube'}
1	node174	{'NeuralTube', 'Somite'}
11	node174	{'NMPs', 'Somite', 'NeuralTube'}
8	node174	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
11	node176	{'NeuralTube', 'Somite'}
13	node176	{'NeuralTube', 'Somite'}
1	node177	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
13	node177	{'NMPs', 'Somite', 'NeuralTube'}
5	node177	{'NMPs', 'Somite', 'NeuralTube'}
8	node177	{'NeuralTube', 'Somite'}
0	node178	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
1	node178	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
11	node178	{'NMPs', 'Somite', 'NeuralTube'}
